smp500,bitcoin
3714.24,34262.11
3773.86,33533.19
3826.31,35512.67
3830.17,37678.37
3871.74,36975.0
3886.83,38311.49
3915.59,46448.1
3911.23,46514.73
3909.88,44850.0
3916.38,47997.91
3934.83,47408.34
3932.59,49158.71
3931.33,52170.01
3913.97,51601.73
3906.71,55983.56
3876.5,54142.13
3881.37,48899.99
3925.43,49737.82
3829.34,47058.48
3811.15,46326.2
3901.82,49639.4
3870.29,48511.6
3819.72,50360.0
3768.47,48368.52
3841.94,48769.47
3821.35,52415.23
3875.44,54916.38
3898.81,55890.69
3939.34,57815.47
3943.34,57225.91
3968.94,55636.15
3962.71,56927.11
3974.12,58925.54
3915.46,57644.95
3913.1,58039.66
3940.59,54110.07
3910.52,54345.54
3889.14,52276.16
3909.52,51325.01
3974.54,55072.44
3971.09,57613.48
3958.55,58786.46
3972.89,58800.0
4019.87,58726.48
4077.91,59123.02
4073.94,58019.98
4079.95,55955.75
4097.17,58083.1
4128.8,58092.68
4127.99,59839.82
4141.59,63588.22
4124.66,62971.8
4170.42,63229.04
4185.47,61427.27
4163.26,55696.83
4134.94,56499.29
4173.42,53800.86
4134.98,51701.59
4180.17,51187.27
4187.62,54053.6
4186.72,55069.62
4183.18,54894.03
4211.47,53580.0
4181.17,57798.77
4192.66,57212.73
4164.66,53241.92
4167.59,57515.69
4201.62,56440.66
4232.6,57380.39
4188.43,55866.41
4152.1,56753.19
4063.04,49498.77
4112.5,49690.11
4173.85,49893.48
4163.29,43580.5
4127.83,42857.15
4115.68,36731.75
4159.12,40623.33
4155.86,37340.77
4197.05,38878.56
4188.13,38361.81
4195.99,39293.23
4200.88,38556.88
4204.11,35680.47
4202.04,36685.0
4208.12,37577.91
4192.85,39248.55
4229.89,36856.52
4226.52,33575.91
4227.26,33402.13
4219.55,37403.86
4239.18,36694.05
4247.44,37338.44
4255.15,40539.47
4246.59,40162.37
4223.7,38351.0
4221.86,38095.17
4166.45,35841.81
4224.79,31609.82
4246.44,32538.37
4241.84,33688.35
4266.49,34654.58
4280.7,31594.63
4290.61,34493.22
4291.8,35904.28
4297.5,35060.0
4319.94,33516.11
4352.34,33805.02
4343.54,34225.73
4358.13,33878.56
4320.82,32875.95
4369.55,33824.26
4384.63,33091.1
4369.21,32734.14
4374.3,32816.39
4360.03,31868.68
4327.16,31388.06
4258.49,30842.03
4323.06,29796.16
4358.69,32135.19
4367.48,32287.74
4411.79,33647.26
4422.3,37262.77
4401.46,39470.48
4400.64,40035.1
4419.15,40039.44
4395.26,42237.95
4387.16,39149.59
4423.15,38191.44
4402.66,39722.41
4429.1,40888.74
4436.52,42869.58
4432.35,46285.48
4436.75,45595.66
4442.41,45553.49
4460.83,44422.14
4468.0,47833.64
4479.71,45902.46
4448.08,44671.58
4400.27,44707.98
4405.8,46765.87
4441.67,49342.4
4479.53,49506.5
4486.23,47682.45
4496.19,48987.33
4470.0,46851.47
4509.37,49077.57
4528.79,46993.71
